CPF,Nome,Numero_telefone,Curso,Matricula
123.456.789-00,Ana Beatriz Santos,(11) 91234-5678,Engenharia Civil,20240000000101
234.567.890-11,Bruno Almeida Costa,(21) 99876-5432,Medicina,20240000000102
345.678.901-22,Camila Rocha Lima,(31) 98765-4321,Direito,20240000000103
456.789.012-33,Daniel Souza Pereira,(41) 97654-3210,Ciência da Computação,20240000000104
567.890.123-44,Elisa Martins Duarte,(51) 96543-2109,Arquitetura e Urbanismo,20240000000105
678.901.234-55,Felipe Andrade Nunes,(61) 95432-1098,Administração,20240000000106
789.012.345-66,Gabriela Silva Torres,(71) 94321-0987,Psicologia,20240000000107
890.123.456-77,Henrique Dias Melo,(81) 93210-9876,Engenharia Elétrica,20240000000108
901.234.567-88,Isabela Costa Freitas,(91) 92109-8765,Enfermagem,20240000000109
012.345.678-99,João Pedro Ramos,(85) 91098-7654,Educação Física,20240000000110
147.258.369-00,Karen Lopes Almeida,(95) 90087-6543,Nutrição,20240000000111
258.369.147-11,Leonardo Queiroz,(62) 98976-5432,Jornalismo,20240000000112
369.147.258-22,Mariana Rios Cunha,(92) 97865-4321,Biomedicina,20240000000113
741.852.963-33,Natália Mendes Luz,(34) 96754-3210,Farmácia,20240000000114
